No.,COMPANY,PRODUCT NAME,TYPE OF PRODUCT,GUARANTEED ANALYSIS,TARGET CROP/S,REGISTRATION NO.,EXPIRY DATE
159,Agway Chemicals Corporation,Great Planters Urea (46-0-0),Inorganic Fertilizer,N=46%,All Crops,1-1IF-9651,"December 17, 2027"
160,Agway Chemicals Corporation,Great Planters Muriate of Potash (MOP),Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-9652,"December 17, 2027"
161,Agway Chemicals Corporation,Vaksi-K,Inorganic Fertilizer,"P2O5=30%, K2O=20%","Rice, Corn, Mango, Banana, Cabbage, Potato, and Tobacco",1-1IF-0913-TPA,"September 05, 2025"
162,Agway Chemicals Corporation,Great Planters Champ 15-9-20,Inorganic Fertilizer,"N=15%, P2O5=9%, K2O=20%",All Crops,1-1IF-9659,"December 18, 2027"
163,Agway Chemicals Corporation,Great Planters Potassium Sulphate (SOP),Inorganic Fertilizer,K2O=50%,All Crops,1-1LF-0442-TPA,"November 24, 2027"
164,Agway Chemicals Corporation,Tektonic Foliar,Inorganic Fertilizer,"N=5%, P2O5=0.50%, K2O=1.0%",All Crops,1-1IF-8595,"January 11, 2028"
165,Agway Chemicals Corporation,Great Crop 15-15-30,Inorganic Fertilizer,"N=15%, P2O5=15%, K2O=30%",All Crops,1-1IF-7466,"February 07, 2028"
166,Agway Chemicals Corporation,Great Planters Magnesium,Controlled Release Fertilizer,MgO=60%,Fruiting and Leafy Vegetables,1-3IF-7414,"April 16, 2028"
167,Agway Chemicals Corporation,Multimate,Inorganic Fertilizer,"N=4% w/v, S=4.50% w/v, Mn=1.80% w/v, Zn=2.80% w/v",All Crops,1-1IF-4667,"March 14, 2027"
168,Agway Chemicals Corporation,Great Calcium-N,Inorganic Fertilizer,"Total Nitrogen (N)=15.5%, Ammoniacal Nitrogen (N)= 1.5%, Nitrate Nitrogen (N)= 14%, Ca=18%",All Crops,1-1IF-8247,"March 26, 2027"
169,Agway Chemicals Corporation,Great Planters Magnesium Sulphate Heptahydrate,Inorganic Fertilizer,MgO=16%,All Crops,1-1IF-8248,"March 26, 2027"
170,Agway Chemicals Corporation,Tim Foliup Foliar,Inorganic Fertilizer,MgO=36%,Rice and Banana,1-1IF-0844-TPA,"July 31, 2026"
171,Agway Chemicals Corporation,Twister,Inorganic Fertilizer,"N=5.37%, P2O5=23.74%",All Crops,1-1IF-4768,"May 05, 2027"
172,Agway Chemicals Corporation,Great Planters Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zn=21%,All Crops,1-1IF-8249,"March 26, 2027"
173,Agway Chemicals Corporation,Mega Kel-P,Inorganic Fertilizer,"N=4%, P2O5=9%, K2O=2.1%, S=2.3%, Zn=1.3%, Mn=1.9%, Mg=1.3%. Fe=0.18%, Cu=0.23%, B=0.22%, Mo=0.03% (w/v)",All Crops,1-1IF-4691,"April 16, 2027"
174,Agway Chemicals Corporation,Great Planters Sure16 NPK,Inorganic Fertilizer,"N=16.40%, P2O5=15.80%, K2O=15.70%",All Crops,1-1IF-9503,"July 05, 2027"
175,Agway Chemicals Corporation,Great Planters Regal19 NPK 19-4-19,Inorganic Fertilizer,"N=19%, P2O5=4%, K2O=19%",All Crops,1-1IF-9523,"July 17, 2027"
176,Agway Chemicals Corporation,Great Planters Muriate of Potash (MOP),Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-0442-TPA,"August 01, 2027"
177,Agway Chemicals Corporation,Great Calcium-N,Inorganic Fertilizer,"Total Nitrogen=15.5%, Nitrate-Nitrogen=14%, Ammoniacal Nitrogen=1.5%, Ca=18.5%",All Crops,1-1IF-8313,"July 06, 2027"
178,Agway Chemicals Corporation,Tenaz,Inorganic Fertilizer,"K2O=0.60%, SiO2=1.30%",Rice,1-1IF-4707,"March 27, 2026"
179,Agway Chemicals Corporation,Agway Greenfast 25 SC,Plant Growth Regulator,Paclobutrazol=25% w/v,Mango,1-5IF-0940-TPA,"November 20, 2027"
180,Agway Chemicals Corporation,SC+Lime,Soil Conditioner,"Ca=24.54%, Neutralizing Value=102%",All Crops,1-4IF-1372,"March 18, 2028"
181,Agway Chemicals Corporation,Great Calcium-N,Inorganic Fertilizer,"Total Nitrogen=15.5%, Nitrate-Nitrogen=14.4%, Ammoniacal Nitrogen=1.1%, Ca=18.50%",All Crops,1-1IF-9693,"March 12, 2028"
182,Ahcil Laboratories Inc.,Ahcil Bio-F,Biofertilizer,Lactobacillus spp.=2.1x107 cfu/g,"Rice, Fruiting and Leafy Vegetables",1-7LF-0853-TPA,"July 25, 2027"
183,"Aktiv Multi Trading Co. Phils., Inc.",Aktiv Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zn=21%,All Crops,1-1IF-8883,"October 21, 2025"
184,"Aktiv Multi Trading Co. Phils., Inc.",Aktiv Ammochlor,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9122,"June 22, 2026"
185,"Aktiv Multi Trading Co. Phils., Inc.",Aktiv Ammochlor,Inorganic Fertilizer,N=25% w/w,All Crops,1-1IF-9197,"August 11, 2026"
186,"Aktiv Multi Trading Co. Phils., Inc.",Aktiv Calci-N,Inorganic Fertilizer,"N= 15.5% w/w, Ca= 19% w/w",All Crops,1-1IF-9198,"August 17, 2026"
187,"Aktiv Multi Trading Co. Phils., Inc.",Aktiv Planters Urea 46-0-0,Inorganic Fertilizer,N= 46 w/w,All Crops,1-1IF-9339,"January 10, 2027"
188,"Aktiv Multi Trading Co. Phils., Inc.",Aktiv Ammochlor,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9015,"March 06, 2026"
189,"Aktiv Multi Trading Co. Phils., Inc.",Aktiv Calci-n,Inorganic Fertilizer,"N= 15.5%, Ca=19%",All Crops,1-1IF-9016,"March 06, 2026"
190,"Aktiv Multi Trading Co. Phils., Inc.",Aktiv Calci-N (Calcium Ammonium Nitrate),Inorganic Fertilizer,"N=15.5%, Ca=19%",All Crops,1-1IF-0895-TPA,"May 29, 2026"
191,"Aktiv Multi Trading Co. Phils., Inc.",Aktiv 20-20-20,Inorganic Fertilizer,"N=20%, P2O5=20%, K2O=20%",All Crops,1-1IF-9771,"July 13, 2028"
192,"Albaugh Philippines, Inc.",Casquette Foliar,Inorganic Fertilizer,Cu=5.2%,All Crops,1-1IF-0709-TPA,"October 06, 2026"
193,"Albaugh Philippines, Inc.",Jester 25 SC,Plant Growth Regulator,Paclobutrazol= 250g/L,Mango,1-5IF-1121,"February 02, 2026"
194,Alcoy Agro Corporation,Aglime 100 Superfine Calcitic Lime,Soil Conditioner,"CaO=54.9%, MgO=1.9%, CCE=102.9%, Fineness Index=71.34%, MC<1.0%, ENP=73.30%",All Crops,1-4LF-1343,"August 11, 2026"
195,Alcoy Agro Corporation,Agridol 50 No. 8 Mesh Dolomite,Soil Conditioner,"CaO= 34.46%, MgO=18.24%, CCE= 106%, Fineness Index=49%, Effective Neutralizing Power=50%",All Crops,1-4LF-1361,"October 06, 2026"
196,Alcoy Agro Corporation,Agridol 100 Superfine Dolomite,Soil Conditioner,"Ca=24.64%, CaO=34.46%, Mg=11.02%, MgO=18.24%, CCE=106%, Fineness Index=96%, Effective Neutralizing Power= 100%",All Crops,1-4LF-1219,"June 17, 2026"
197,Aldiz Incorporated,Crop Giant 15-15-30+M.E.,Inorganic Fertilizer,"N=15%, P2O5=15%, K2O=30%, Fe=1000 ppm, Mn=500 ppm, B=200 ppm, Zn=150 ppm, Cu=110 ppm, Mo=70 ppm",All Crops,1-1IF-442,"August 04, 2027"
198,Aldiz Incorporated,Crop Giant 19-19-19+M.E.,Inorganic Fertilizer,"N=19%, P2O5=19%, K2O=19%, Fe=1000 ppm, Mn=500 ppm, B=200 ppm, Zn=150 ppm, Cu=110 ppm, Mo=70 ppm",All Crops,1-1IF-443,"August 04, 2027"
199,Aldiz Incorporated,Avatar,Biofertilizer (Bio-Inoculant),Trichoderma spp.=1x108cfu/g,"Rice, Sugarcane, Corn",1-2IF-1259,"February 21, 2026"
200,Aldyxzie Enterprises,Highland Fertilizer Urea Granular,Inorganic Fertilizer,N=46%,All Crops,1-1IF-0730-TPA,"December 12, 2025"
201,Aldyxzie Enterprises,Dok M,Soil Conditioner,"N=0.99%, P2O5=1.64%, K2O=0.86%, Ca=2.61%",All Crops,1-4LF-0167-TPA,"March 08, 2027"
202,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Granular Urea 46-0-0,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9739,"April 15, 2028"
203,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer (16-20-0),Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-0511-TPA,"February 04, 2028"
204,"Aljay Agro-Industrial Solutions, Incorporated",Softguard,Inorganic Fertilizer,K2O=1.4-1.8%,All Crops,1-1IF-8252,"April 13, 2027"
205,"Aljay Agro-Industrial Solutions, Incorporated",Rootmost,Inorganic Fertilizer,K2O=2.3-3.3%,All Crops,1-1IF-8228,"March 18, 2027"
206,"Aljay Agro-Industrial Solutions, Incorporated",Earn+,Inorganic Fertilizer,"Ca=3.7%, B= 1.11%",All Crops,1-1IF-8243,"March 24, 2027"
207,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9463,"May 17, 2027"
208,"Aljay Agro-Industrial Solutions, Incorporated",Humic Acid,Raw Material,Humic Acid=70%,Raw Material,1-6IF-1503,"September 06, 2027"
209,"Aljay Agro-Industrial Solutions, Incorporated",Servo 25 SC,Plant Growth Regulator,Paclobutrazol=250 g/L,Mango,1-5IF-7308,"September 19, 2027"
210,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Granular Urea (46-0-0),Inorganic Fertilizer,N=46%,All Crops,1-1IF-0863-TPA,"October 26, 2027"
211,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer Shield,Inorganic Fertilizer,N=25%,All Crops,1-1IF-8908,"December 01, 2025"
212,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer Shield,Inorganic Fertilizer,N=25%,All Crops,1-1IF-7901,"February 28, 2026"
213,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer Shield,Inorganic Fertilizer,N=25%,All Crops,1-1IF-8808,"August 09, 2025"
214,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%, S=8%, CI=10%",All Crops,1-1LF-0464-TPA,"November 16, 2025"
215,"Aljay Agro-Industrial Solutions, Incorporated",O' Valley Mashed,Soil Conditioner,"N=2%, P2O5=2%, K2O=5%, Organic Matter=11%, Humic Acid=1%, S=1.9%, Ca=1.3%, Fe=0.16%, Mg=0.28%, Cu=25 ppm, Zn=144 ppm, Mn=228 ppm","Tomato, Eggplant, Rice",1-4LF-1317,"March 30, 2026"
216,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%, S=10%",All Crops,1-1LF-0726-TPA,"December 01, 2025"
217,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer Urea Granular,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9103,"May 29, 2026"
218,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer Urea Prilled,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9104,"May 29, 2026"
219,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer Urea Prilled,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9105,"May 29, 2026"
220,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer Urea Granular,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9106,"May 29, 2026"
221,"Aljay Agro-Industrial Solutions, Incorporated",O'valley Granular,Soil Conditioner,"N=2%, K2O=5%, Organic Matter=20%, Humic Acid=1%",Tomato (Fruiting Vegetables),1-4LF-1346,"September 28, 2026"
222,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer Urea,Inorganic Fertilizer,N= 46%,All Crops,1-1IF-9206,"August 31, 2026"
223,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Fertilizer Urea,Inorganic Fertilizer,N= 46%,All Crops,1-1IF-9207,"August 31, 2026"
224,"Aljay Agro-Industrial Solutions, Incorporated",Alga 300++,Inorganic Fertilizer,"N= 4.2%, P2O5= 12.5%, K2O= 3.3%",All Crops,1-1IF-7707,"September 16, 2026"
225,"Aljay Agro-Industrial Solutions, Incorporated",Alga 600,Inorganic Fertilizer,"K2O= 17-21%, Organic Matter= 35-40%",All Crops,1-1IF-7706,"September 16, 2026"
226,"Aljay Agro-Industrial Solutions, Incorporated",Aljay 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-0864-TPA,"April 05, 2028"
227,"Aljay Agro-Industrial Solutions, Incorporated",Aljay 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9736,"April 14, 2028"
228,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Shield,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9737,"April 14, 2028"
229,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Shield,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9760,"May 19, 2028"
230,"Aljay Agro-Industrial Solutions, Incorporated",Aljay 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9761,"May 19, 2028"
231,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9762,"May 19, 2028"
232,"Aljay Agro-Industrial Solutions, Incorporated",Aljay Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9763,"May 19, 2028"
233,Alkim Agrivet Trading,RB Golden Green Foliar,Inorganic Foliar Fertilizer,"N=4.90%, P2O5=3.10%, K2O=5.31%",All Crops,1-1LF-9058,"April 19, 2026"
234,Allied Botanical Corporation,Nutribella 15-15-30+TE,Inorganic Fertilizer,"N=15%, P2O5=15%, K2O=30%, SO3=4.4% Fe=400ppm, Mn=200ppm, Zn=200ppm, Cu=100ppm, Mo=25ppm",All Crops,1-1IF-7714,"September 19, 2025"
235,Allied Botanical Corporation,Peters Professional WSF 15-10-30,Inorganic Fertilizer,"N=15%, P2O5=10%, K2O=30%, Mg= 0.05%, B=0.0051%, Cu= 0.0027%, Fe=0.05%, Mn=0.025%, Mo=0.0009%, Zn=0.0025%","Rice, Tomato, Onion, Brocolli, Lettuce, Chrysanthemum, Cucumber and MAngo",1-1IF-3035,"August 11, 2026"
236,Allied Botanical Corporation,Peters Professional WSF 9-45-15,Inorganic Fertilizer,"N=9%, P2O5=45%, K2O=15%, Mg= 0.10%, B=0.0068%, Cu= 0.0036%, Fe=0.05%, Mn=0.025%, Mo=0.0009%, Zn=0.0025%",All Crops,1-1IF-3033,"August 11, 2026"
237,Allied Botanical Corporation,Peters Professional 30-10-10,Inorganic Fertilizer,"N=30%, P2O5=10%, K2O=10%, B=0.02%, Cu= 0.05%, Fe=0.1%, Mn=0.05%, Mo=0.0005%, Zn=0.04%",All Crops,1-1IF-3034,"August 11, 2026"
238,Allied Botanical Corporation,Osmocote 14-14-14 Controlled Release Fertilizer,Controlled Release Fertilizer,"N= 14%, P2O5= 14%, K2O= 14%",All Crops,1-3IF-7423,"August 11, 2026"
239,Allied Botanical Corporation,Verno FG Copper 30+ Zinc 30 Inorganic Fertilizer,Inorganic Fertilizer,"Cu= 30%, Zn= 30%",All Crops,1-1IF-3640,"August 13, 2026"
240,Allied Botanical Corporation,Osmocote 15-10-12+ 2MgO+TE,Controlled Release Fertilizer,"N= 15%, P2O5= 10%, K2O= 12%, MgO= 2%, B= 0.02%, Cu= 0.04, Fe= 0.40, Mn= 0.06%, Mo= 0.02%, Zn= 0.015%",All Crops,1-3IF-7412,"October 09, 2026"
241,Allied Botanical Corporation,Neb-88 Ultra,Inorganic Fertilizer,Organic Matter=35-40%,"Rice, Corn, Sugarcane, Fruiting and Leafy Vegetables",1-1IF-0450-TPA,"July 13, 2026"
242,Allied Botanical Corporation,Agroblen 17-8-9+3MgO Controlled Release,Controlled Release Fertilizer,"N=17%,P2O5=8%, K2O=9%, MgO=3%",All Crops,1-1IF-2851,"June 08, 2026"
243,Allied Botanical Corporation,Agroblen 10-7-22+2MgO Controlled Release,Controlled Release Fertilizer,"N=10%, P2O5=7%, K2O=22%, MgO=2%",All Crops,1-1IF-2847,"June 08, 2026"
244,Allied Botanical Corporation,Osmocote 18-6-12,Controlled Release Fertilizer,"N= 18%, P2O5=6%, K2O=12%",All Crops,1-1IF-3029,"August 11, 2026"
245,Allied Botanical Corporation,Osmocote 14-14-14,Controlled Release Fertilizer,"N= 14%, P2O5=14%, K2O=14%",All Crops,1-1IF-3026,"August 11, 2026"
246,Allied Botanical Corporation,Nova Ferti K 0-0-61,Inorganic Fertilizer,K2O=61%,All Crops,1-1IF-6053,"January 12, 2027"
247,Allied Botanical Corporation,Osmocote 15-9-12+TE,Controlled Release Fertilizer,"N=15%, P2O5=9%, K2O=12%, Mg=1.3%, S=6%, B=0.02%, Cu=0.03%, Fe=0.46%, Mn=0.06%, Mo=0.02%, Zn=0.05%",All Crops,1-3IF-079,"November 08, 2026"
248,Allied Botanical Corporation,Peters Professional WSF 20-20-20,Inorganic Fertilizer,"N= 20%, P2O5= 20%, K2O= 20%, Mg= 0.05%, B= 0.0125%, Cu= 0.0125%, Fe= 0.05%, Mn= 0.025%, Mo= 0.042%, Zn= 0.021%",All Crops,1-1IF-3032,"August 11, 2026"
249,Allied Botanical Corporation,Peters Professional 30-10-10+TE,Inorganic Fertilizer,"N=30%, P2O5=10%, K2O=10%, Cu=0.015%, Fe=0.12%, Mn=0.06%, Zn=0.015%, B=0.02%, Mo=0.01%",All Crops,1-1IF-7921,"March 18, 2026"
250,Allied Botanical Corporation,Nutrivant Plus Rice 0-46-30+2MgO+0.20B+Fertivant,Inorganic Fertilizer,"P2O5=46%, K2O=30%, MgO=2%, B=0.20%",All Crops,1-1IF-3580,"January 09, 2027"
251,Allied Botanical Corporation,Peters Professional 10-52-10+TE,Inorganic Fertilizer,"N=10%, P2O5=52%, K2O=10%, Cu=0.015%, Fe=0.12%, Mn=0.06%, Zn=0.015%, Mo=0.01%, B=0.02%",All Crops,1-1IF-7981,"August 07, 2026"
252,Allied Botanical Corporation,Tiller Maxx,Inorganic Fertilizer,Total Organic Carbon=11.9%-18.9%,Rice,1-1IF-0878-TPA,"May 24, 2028"
253,Allied Botanical Corporation,Polysulphate Standard 0-0-13,Inorganic Fertilizer,"K2O=13%, CaO=16.50%, MgO=5.60%, SO3=46.50%",All Crops,1-1IF-8523,"November 17, 2027"
254,Allied Botanical Corporation,Peters Professional WSF 20-20-20+TE,Inorganic Fertilizer,"N=20%, P2O5=20%, K2O=20%, B=0.02%, Cu=0.015%, Fe=0.12%, Mn=0.06%, Mo-0.007%, Zn=0.015%",All Crops,1-1IF-8524,"November 17, 2027"
255,Allied Botanical Corporation,Nutribella 20-20-20+TE Inorganic Fertilizer,Inorganic Fertilizer,"N=20%, P2O5=20%, K2O=20%, Fe=250ppm, Mn=120ppm, Zn=50ppm, Cu=10ppm, Mo=10ppm",All Crops,1-1IF-7582,"July 14, 2028"
256,Alltech Biotechnology Corp.,Crop Set,Inorganic Foliar Fertilizer,"Cu=0.20%, Fe=0.60%, Mn= 1.50%, S=1.20%","Corn, Fruiting and Leafy Vegetables",1-1IF-7988,"August 11, 2025"
257,Alltech Biotechnology Corp.,Soil Set,Inorganic Fertilizer,"Cu=2%, Fe=1.6%, Mn=0.8%, Zn=3.2%","Fruiting and Leafy Vegetables, Rice, Corn and Banana",1-1IF-8139,"December 14, 2026"
258,Alltech Biotechnology Corp.,Liqui Plex ZnMnB,Inorganic Fertilizer,"B=0.5%, Mn=3%, Zn=3%",Fruiting and Leafy Vegetables,1-1IF-8330,"July 16, 2027"
259,Alltech Biotechnology Corp.,Grain Set,Inorganic Fertilizer,Mn=0.8%,All Crops,1-1IF-7989,"April 22, 2028"
260,Alltech Biotechnology Corp.,Agro Mos,Inorganic Fertilizer,"N=0.113%, Cu=4%",All Crops,1-1IF-7987,"May 31, 2028"
261,Altacrop Protection Corporation,Mango Boom Flower Inducer,Inorganic Fertilizer,"NaNO3=50%w/w, KNO3=35%w/w",Mango,1-5LF-058-TPA,"August 14, 2026"
262,Altacrop Protection Corporation,Albatros Foliar 18+18+18,Inorganic Fertilizer,"N=18%, P2O5=18%, K2O=18%",All Crops,1-1IF-9728,"April 03, 2028"
263,"Alysons' Chemical Enterprises, Inc.",Potassium Chloride FRU Grade,Raw Material,K2O=61.3%,Raw Material,1-6IF-1486,"May 20, 2027"
264,Amazing Farm Supply,New Hikari,Inorganic Fertilizer,"N=5.06%, P2O5=4.83%, K2O=6.87%",All Crops,1-1LF-1988,"January 28, 2026"
265,Ameer Trading Corp.,Zennor Hydro Blend 15-5-30,Inorganic Fertilizer,"N=15%, P2O5=5%, K2O=30%",All Crops,1-1IF-9547,"August 22, 2027"
266,Ameer Trading Corp.,Zennor Hydro Blend 20-5-20,Inorganic Fertilizer,"N=20%, P2O5=5%, K2O=20%",All Crops,1-1IF-9548,"August 21, 2027"
267,Ameer Trading Corp.,Zennor Hydro Blend 15.5-0-0+19Ca,Inorganic Fertilizer,"N=15.5%, Ca=19%",All Crops,1-1IF-9692,"February 11, 2028"
268,Amri Agri-Ventures Corporation,Platinum Pro 5-5-5,Inorganic Fertilizer,"N=5%, P2O5=5%, K2O=5%",All Crops,1-1LF-9107,"May 29, 2026"
269,Amri Agri-Ventures Corporation,Platinum Plus 6-4-4,Inorganic Fertilizer,"N=6%, P2O5=4%, K2O=4%",All Crops,1-1LF-9108,"May 29, 2026"
270,Amri Agri-Ventures Corporation,Kompost pH,Soil Conditioner,"N=1.6%, P2O5=2.85%, K2O=2.2%, Moisture Content=21.4%, pH Level=8.01",All Crops,1-4LF-1340,"May 29, 2026"
271,Amri Agri-Ventures Corporation,Agtalon,Soil Conditioner,"N=0.43%, P2O5=0.39%, K2O=0.469%",All Crops,1-4LF-1341,"May 29, 2026"
272,Amri Agri-Ventures Corporation,Big Shot,Inorganic Fertilizer,"N=2.5%, P2O5=0.13%, K2O=4.3%, Ca=24.9%",All Crops,1-1LF-9110,"June 15, 2026"
273,Amway Philippines L.L.C.,Nutriplant K+,Inorganic Fertilizer,K2O=25%,All Crops,1-1IF-2700,"June 30, 2028"
274,Amway Philippines L.L.C.,Nutriplant NPK+,Inorganic Fertilizer,"N=4%, P2O5=18%, K2O=18%",All Crops,1-1IF-2674,"May 15, 2028"
275,Amway Philippines L.L.C.,Nutriplant SD,Inorganic Fertilizer,"Ca= 3.6%, S= 3.6%, Mg= 1.7%, Fe= 0.9%, Mn= 0.22%, Cu= 0.0625%, Co= 0.0006%, Mo= 0.00025%, Zn= 0.9%","Corn, Rice,Soybeans, Fruiting and Leafy Vegetables",1-1IF-937,"February 15, 2026"
276,Amway Philippines L.L.C.,Nutriplant Zn+,Inorganic Fertilizer,"N= 4%, Zn= 8%",Rice,1-1IF-2701,"June 30, 2026"
277,Amway Philippines L.L.C.,Nutriplant AG,Inorganic Foliar Fertilizer,"N=5%, P2O5=3.3%, K2O=2.6%, S=0.75%, Zn=0.53%, Fe=0.32%, Mn=0.26%, Cu=%, B=0.014%, Co=0.01%, Mo=0.001%",All Crops,1-1IF-912,"September 07, 2025"
278,Amway Philippines L.L.C.,APSA-80 All Purpose Spray Adjuvant Concentrate,Plant Growth Regulator,Alkyl Aryl Alkoxylate & Tall Oil Fatty Acids=80%,"Mungbean, Pineapple and Fruiting Vegetables",1-5IF-1159,"May 18, 2027"
279,Amway Philippines L.L.C.,Nutriplant SL,Inorganic Fertilizer,"S=3%, Fe=2%, Zn=2%, Mg=1%, Mn=0.5%, Cu=0.15%, Co=0.002%, Mo=0.001%",All Crops,1-1IF-2355,"July 03, 2028"
280,Archel Treatment Corporation,Manu-Green,Inorganic Foliar Fertilizer,"N=6%, P2O5=2%, K2O=2%",All Crops,1-1LF-8991,"March 06, 2026"
281,Aries RNE Chemical Corporation,Nutrigrow 15-15-30,Inorganic Fertilizer,"N=15%, P2O5=15%, K2O=30%, Fe=0.10%, Mn=0.05%, B=0.05%, Zn=0.05%, Cu=0.011%, Mo=0.007%",All Crops,1-1IF-0653-TPA,"July 15, 2027"
282,Aries RNE Chemical Corporation,Nutrigrow 19-19-19,Inorganic Fertilizer,"N=19%, P2O5=19%, K2O=19%, Fe=0.10%, Mn=0.05%, B=0.05%, Zn=0.05%, Cu=0.011%, Mo=0.007%",All Crops,1-1IF-0654-TPA,"July 15, 2027"
283,Arms for Crops and Livestock Corp.,Durabloom Fertilizer (Processed Chicken manure),Fortified Organic Fertilizer,"N=1%-5%, P2O5=1.5%-5%, K2O=1.5-6%",All Crops,1-2LF-0711-TPA,"October 26, 2025"
284,Arms for Crops and Livestock Corp.,Durabloom Foliar Fertilizer,Inorganic Fertilizer,"N=1.05%, P2O5=1%, K2O=0.33%",Leafy Vegetables,1-1LF-0802-TPA,"March 18, 2027"
285,Artemis Salt Corporation,Orient Sea Local Salt,Inorganic Fertilizer,NaCl=86.29%,Coconut,1-1LF-9593,"November 08, 2027"
286,Arvin International Marketing Inc.,Dampier Salt,Inorganic Fertilizer,NaCl=98.6%,Coconut,1-1IF-2384,"April 03, 2026"
287,Asia Gold Trading Corporation,Buffalo Fertilizer 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8850,"September 21, 2025"
288,Asia Gold Trading Corporation,Buffalo Fertilizer 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8851,"September 21, 2025"
289,Asia Gold Trading Corporation,Buffalo Fertilizers 46-0-0,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8893,"November 03, 2025"
290,Asia Gold Trading Corporation,NUtri N-Plus,Inorganic Foliar Fertilizer,N=28%,All Crops,1-1IF-7481,"February 26, 2026"
291,Asia Gold Trading Corporation,Buffalo Fertilizer - Buffalo 21-0-0,Inorganic Fertilizer,N=21%,"Rice, Corn, Pineapple, Leafy and Fruiting Vegetables",1-1IF-9014,"March 06, 2026"
292,Asia Gold Trading Corporation,Buffalo 46-0-0 Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9021,"March 06, 2026"
293,Asia Gold Trading Corporation,Buffalo 46-0-0,Inorganic Fertilizer,N= 46%,All Crops,1-1IF-9316,"November 17, 2026"
294,Asia Gold Trading Corporation,Buffalo 17-0-17 Top Dress Optima,Inorganic Fertilizer,"N=17%, K2O=17%",All Crops,1-1IF-9765,"May 20, 2028"
295,Asia Gold Trading Corporation,Buffalo 25-0-0 Nitro Booster,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9767,"May 20, 2028"
296,Asia Gold Trading Corporation,Buffalo 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9768,"May 20, 2028"
297,Asia Gold Trading Corporation,Buffalo Fertilizer Top Dress Ultima 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-9769,"May 20, 2028"
298,Asia Gold Trading Corporation,Buffalo 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%","Rice, Corn,Fruiting & Leafy Vegetables",1-1IF-9446,"April 24, 2027"
